Name,Price_Total,Price_PerGame
Karl-Anthony Towns,95,91
Giannis Antetokounmpo,91,88
Nikola Jokic,88,89
Kevin Durant,80,84
Russell Westbrook,80,76
Chris Paul,78,87
Anthony Davis,78,83
Stephen Curry,76,79
Kawhi Leonard,72,78
Rudy Gobert,71,68
James Harden,71,70
Jimmy Butler,69,75
Damian Lillard,65,66
Myles Turner,64,61
John Wall,63,62
Kyrie Irving,63,70
Draymond Green,61,63
LeBron James,61,67
Ricky Rubio,55,57
Otto Porter,54,50
Hassan Whiteside,52,53
Mike Conley,52,60
Kyle Lowry,51,54
Kemba Walker,51,49
Elfrid Payton,50,47
Marc Gasol,49,53
DeMarcus Cousins,49,55
DeAndre Jordan,48,44
Nikola Vucevic,47,50
Al Horford,46,49
CJ McCollum,46,41
Andre Drummond,43,40
Paul George,43,41
Gordon Hayward,42,43
Kristaps Porzingis,41,46
Bradley Beal,39,38
Lonzo Ball,38,37
Blake Griffin,37,50
Gary Harris,36,37
Kevin Love,36,39
Guillermo Hernangomez,35,36
Klay Thompson,35,35
Aaron Gordon,35,31
Robert Covington,35,35
LaMarcus Aldridge,35,36
Jrue Holiday,35,38
Jeff Teague,33,30
Malcolm Brogdon,33,32
Michael Kidd-Gilchrist,32,28
Nicolas Batum,32,31
Rajon Rondo,32,36
Steven Adams,31,28
Gorgui Dieng,31,26
Nerlens Noel,31,35
Tobias Harris,31,26
Clint Capela,30,31
TJ Warren,29,30
Goran Dragic,29,31
Eric Bledsoe,28,36
Trevor Ariza,28,24
Paul Millsap,27,33
Patrick Beverley,27,28
Marcus Smart,27,28
Joel Embiid,27,49
Serge Ibaka,27,23
Tristan Thompson,27,25
Dewayne Dedmon,26,26
Danilo Gallinari,26,36
Jonas Valanciunas,26,23
Thaddeus Young,26,28
Khris Middleton,25,24
DeMar DeRozan,24,26
Victor Oladipo,24,26
Jamal Murray,24,21
Jusuf Nurkic,24,28
Larry Nance,24,25
Brook Lopez,24,24
Dennis Schroder,24,21
Andre Iguodala,24,23
Willie Cauley-Stein,23,23
Greg Monroe,23,19
JaMychal Green,23,22
Rondae Hollis-Jefferson,21,19
James Johnson,21,20
Jeremy Lin,21,21
Joe Ingles,20,16
Robin Lopez,20,18
Cody Zeller,20,23
Pau Gasol,20,23
Ben Simmons,20,23
Markieff Morris,20,19
Marquese Chriss,19,15
Marvin Williams,19,18
Marcin Gortat,19,15
D'Angelo Russell,19,18
Lou Williams,18,15
Nikola Mirotic,18,22
Patty Mills,17,13
